city1	city2	nsmiles	passengers	fare	carrier_lg
"Chicago, IL"	"Houston, TX"	945	2905.934066	201.0334518	UA
"Las Vegas, NV"	"Washington, DC (Metropolitan Area)"	2106	2905.494505	218.9950983	WN
"Detroit, MI"	"New York City, NY (Metropolitan Area)"	540	2893.186813	212.9768535	DL
"Las Vegas, NV"	"Seattle, WA"	867	2849.230769	136.4279235	AS
"Atlanta, GA (Metropolitan Area)"	"Boston, MA (Metropolitan Area)"	952	2843.846154	212.389505	DL
"New York City, NY (Metropolitan Area)"	"Seattle, WA"	2448	2800.769231	291.464633	DL
"Dallas/Fort Worth, TX"	"Houston, TX"	247	2789.340659	197.4789938	WN
"Houston, TX"	"Washington, DC (Metropolitan Area)"	1246	2788.131868	236.2750828	UA
"Los Angeles, CA (Metropolitan Area)"	"Orlando, FL"	2218	2776.043956	227.8034677	DL
"New York City, NY (Metropolitan Area)"	"Raleigh/Durham, NC"	463	2753.516484	165.6247476	DL
"Minneapolis/St. Paul, MN"	"New York City, NY (Metropolitan Area)"	1057	2613.736264	276.8384486	DL
"Atlanta, GA (Metropolitan Area)"	"Philadelphia, PA"	666	2603.186813	146.8623581	DL
"Chicago, IL"	"Tampa, FL (Metropolitan Area)"	1012	2601.538462	157.1190842	WN
"Dallas/Fort Worth, TX"	"Orlando, FL"	985	2594.285714	154.8479795	AA
"Fort Myers, FL"	"New York City, NY (Metropolitan Area)"	1120	2523.076923	183.3222953	B6
"Dallas/Fort Worth, TX"	"Miami, FL (Metropolitan Area)"	1121	2488.241758	158.7053129	AA
"Denver, CO"	"Las Vegas, NV"	628	2475.164835	135.5823033	WN
"Boston, MA (Metropolitan Area)"	"Philadelphia, PA"	289	2466.483516	176.0290488	AA
"New Orleans, LA"	"New York City, NY (Metropolitan Area)"	1218	2378.351648	252.4492861	DL
"Boston, MA (Metropolitan Area)"	"Tampa, FL (Metropolitan Area)"	1204	2364.065934	192.5856412	WN
"Minneapolis/St. Paul, MN"	"Washington, DC (Metropolitan Area)"	936	2334.835165	189.7730315	DL
"Atlanta, GA (Metropolitan Area)"	"San Francisco, CA (Metropolitan Area)"	2139	2311.318681	311.1058004	DL
"Chicago, IL"	"Seattle, WA"	1733	2308.131868	212.3146496	AS
"San Diego, CA"	"Seattle, WA"	1050	2285.604396	155.6610558	AS
"Phoenix, AZ"	"Seattle, WA"	1107	2285.494505	181.1728099	AS
"Dallas/Fort Worth, TX"	"Phoenix, AZ"	879	2283.296703	156.4233709	AA
"Austin, TX"	"New York City, NY (Metropolitan Area)"	1559	2282.417582	239.4618825	UA
"Los Angeles, CA (Metropolitan Area)"	"Minneapolis/St. Paul, MN"	1535	2262.307692	224.5428183	DL
"Los Angeles, CA (Metropolitan Area)"	"Philadelphia, PA"	2402	2261.428571	282.3187521	AA
"New York City, NY (Metropolitan Area)"	"San Diego, CA"	2481	2249.340659	325.7538082	DL
"Denver, CO"	"Minneapolis/St. Paul, MN"	680	2243.406593	136.9355425	DL
"Detroit, MI"	"Orlando, FL"	957	2240.32967	153.7000736	DL
